day,month,year,date,weekday
1,1,1991,01.01.1991,1
2,1,1991,02.01.1991,2
7,1,1991,07.01.1991,0
25,2,1991,25.02.1991,0
8,3,1991,08.03.1991,4
1,5,1991,01.05.1991,2
2,5,1991,02.05.1991,3
9,5,1991,09.05.1991,3
12,6,1991,12.06.1991,2
1,1,1992,01.01.1992,2
2,1,1992,02.01.1992,3
7,1,1992,07.01.1992,1
24,2,1992,24.02.1992,0
9,5,1992,09.05.1992,5
11,5,1992,11.05.1992,0
12,6,1992,12.06.1992,4
1,1,1993,01.01.1993,4
4,1,1993,04.01.1993,0
7,1,1993,07.01.1993,3
23,2,1993,23.02.1993,1
8,3,1993,08.03.1993,0
3,5,1993,03.05.1993,0
10,5,1993,10.05.1993,0
14,6,1993,14.06.1993,0
3,1,1994,03.01.1994,0
4,1,1994,04.01.1994,1
7,1,1994,07.01.1994,4
23,2,1994,23.02.1994,2
8,3,1994,08.03.1994,1
2,5,1994,02.05.1994,0
9,5,1994,09.05.1994,0
13,6,1994,13.06.1994,0
12,12,1994,12.12.1994,0
2,1,1995,02.01.1995,0
3,1,1995,03.01.1995,1
9,1,1995,09.01.1995,0
23,2,1995,23.02.1995,3
8,3,1995,08.03.1995,2
1,5,1995,01.05.1995,0
9,5,1995,09.05.1995,1
12,6,1995,12.06.1995,0
12,12,1995,12.12.1995,1
1,1,1996,01.01.1996,0
2,1,1996,02.01.1996,1
8,1,1996,08.01.1996,0
23,2,1996,23.02.1996,4
8,3,1996,08.03.1996,4
1,5,1996,01.05.1996,2
9,5,1996,09.05.1996,3
12,6,1996,12.06.1996,2
12,12,1996,12.12.1996,3
1,1,1997,01.01.1997,2
2,1,1997,02.01.1997,3
7,1,1997,07.01.1997,1
24,2,1997,24.02.1997,0
10,3,1997,10.03.1997,0
1,5,1997,01.05.1997,3
9,5,1997,09.05.1997,4
12,6,1997,12.06.1997,3
12,12,1997,12.12.1997,4
1,1,1998,01.01.1998,3
2,1,1998,02.01.1998,4
7,1,1998,07.01.1998,2
23,2,1998,23.02.1998,0
9,3,1998,09.03.1998,0
1,5,1998,01.05.1998,4
11,5,1998,11.05.1998,0
12,6,1998,12.06.1998,4
14,12,1998,14.12.1998,0
1,1,1999,01.01.1999,4
4,1,1999,04.01.1999,0
7,1,1999,07.01.1999,3
23,2,1999,23.02.1999,1
8,3,1999,08.03.1999,0
3,5,1999,03.05.1999,0
10,5,1999,10.05.1999,0
14,6,1999,14.06.1999,0
13,12,1999,13.12.1999,0
3,1,2000,03.01.2000,0
4,1,2000,04.01.2000,1
7,1,2000,07.01.2000,4
23,2,2000,23.02.2000,2
8,3,2000,08.03.2000,2
1,5,2000,01.05.2000,0
9,5,2000,09.05.2000,1
12,6,2000,12.06.2000,0
12,12,2000,12.12.2000,1
1,1,2001,01.01.2001,0
2,1,2001,02.01.2001,1
8,1,2001,08.01.2001,0
23,2,2001,23.02.2001,4
8,3,2001,08.03.2001,3
1,5,2001,01.05.2001,1
9,5,2001,09.05.2001,2
12,6,2001,12.06.2001,1
12,12,2001,12.12.2001,2
1,1,2002,01.01.2002,1
2,1,2002,02.01.2002,2
7,1,2002,07.01.2002,0
25,2,2002,25.02.2002,0
8,3,2002,08.03.2002,4
1,5,2002,01.05.2002,2
9,5,2002,09.05.2002,3
12,6,2002,12.06.2002,2
12,12,2002,12.12.2002,3
1,1,2003,01.01.2003,2
2,1,2003,02.01.2003,3
7,1,2003,07.01.2003,1
