day	month	year	date	weekday
1	1	1991	1991-01-01	1
2	1	1991	1991-01-02	2
7	1	1991	1991-01-07	0
25	2	1991	1991-02-25	0
8	3	1991	1991-03-08	4
1	5	1991	1991-05-01	2
2	5	1991	1991-05-02	3
9	5	1991	1991-05-09	3
12	6	1991	1991-06-12	2
1	1	1992	1992-01-01	2
2	1	1992	1992-01-02	3
7	1	1992	1992-01-07	1
24	2	1992	1992-02-24	0
9	5	1992	1992-05-09	5
11	5	1992	1992-05-11	0
12	6	1992	1992-06-12	4
1	1	1993	1993-01-01	4
4	1	1993	1993-01-04	0
7	1	1993	1993-01-07	3
23	2	1993	1993-02-23	1
8	3	1993	1993-03-08	0
3	5	1993	1993-05-03	0
10	5	1993	1993-05-10	0
14	6	1993	1993-06-14	0
3	1	1994	1994-01-03	0
4	1	1994	1994-01-04	1
7	1	1994	1994-01-07	4
23	2	1994	1994-02-23	2
8	3	1994	1994-03-08	1
2	5	1994	1994-05-02	0
9	5	1994	1994-05-09	0
13	6	1994	1994-06-13	0
12	12	1994	1994-12-12	0
2	1	1995	1995-01-02	0
3	1	1995	1995-01-03	1
9	1	1995	1995-01-09	0
23	2	1995	1995-02-23	3
8	3	1995	1995-03-08	2
1	5	1995	1995-05-01	0
9	5	1995	1995-05-09	1
12	6	1995	1995-06-12	0
12	12	1995	1995-12-12	1
1	1	1996	1996-01-01	0
2	1	1996	1996-01-02	1
8	1	1996	1996-01-08	0
23	2	1996	1996-02-23	4
8	3	1996	1996-03-08	4
1	5	1996	1996-05-01	2
9	5	1996	1996-05-09	3
12	6	1996	1996-06-12	2
12	12	1996	1996-12-12	3
1	1	1997	1997-01-01	2
2	1	1997	1997-01-02	3
7	1	1997	1997-01-07	1
24	2	1997	1997-02-24	0
10	3	1997	1997-03-10	0
1	5	1997	1997-05-01	3
9	5	1997	1997-05-09	4
12	6	1997	1997-06-12	3
12	12	1997	1997-12-12	4
1	1	1998	1998-01-01	3
2	1	1998	1998-01-02	4
7	1	1998	1998-01-07	2
23	2	1998	1998-02-23	0
9	3	1998	1998-03-09	0
1	5	1998	1998-05-01	4
11	5	1998	1998-05-11	0
12	6	1998	1998-06-12	4
14	12	1998	1998-12-14	0
1	1	1999	1999-01-01	4
4	1	1999	1999-01-04	0
7	1	1999	1999-01-07	3
23	2	1999	1999-02-23	1
8	3	1999	1999-03-08	0
3	5	1999	1999-05-03	0
10	5	1999	1999-05-10	0
14	6	1999	1999-06-14	0
13	12	1999	1999-12-13	0
3	1	2000	2000-01-03	0
4	1	2000	2000-01-04	1
7	1	2000	2000-01-07	4
23	2	2000	2000-02-23	2
8	3	2000	2000-03-08	2
1	5	2000	2000-05-01	0
9	5	2000	2000-05-09	1
12	6	2000	2000-06-12	0
12	12	2000	2000-12-12	1
1	1	2001	2001-01-01	0
2	1	2001	2001-01-02	1
8	1	2001	2001-01-08	0
